z_um,error,weight,sigma_x,sigma_y,ellipticity,fit_r2
0.2207831420775327,-0.005316040292528156,2209715.0,2.774181228417986,2.2667072239597563,1.2238815843061166,0.8538530296633018
0.0,-0.001719717183793669,2239357.0,3.473454634814653,1.8514078951380777,1.8761152763451965,0.8530548952052638
0.012827218721455912,-0.0006938068565847735,2279757.0,3.7525694119615176,1.60736336317832,2.334611761052818,0.8555216283819091
0.03268483489753145,-0.0007258352729748995,2323043.0,3.7071096402138695,1.6427299065040786,2.2566762956809088,0.878807187276835
0.0572295097134896,0.0017136206724367832,2249445.0,3.607274945028107,1.8031017431444398,2.000594230882035,0.858475432747155
0.07943088051972808,-0.0007233970399719545,2213786.0,3.4229539377421485,1.7935715201121414,1.9084568969561535,0.8670543731201448
0.1003989802838792,-0.0034344112437568707,2209461.0,3.4556422414021375,1.9386757792638423,1.782475583779316,0.8468039408887931
0.12482081892981894,-0.005801530878887216,2239812.0,3.3421988364842123,1.9982475325771472,1.6725649760586798,0.8532465734903099
0.14665261709267083,-0.0022829966432172675,2260110.0,3.099926764534039,2.0435772818695126,1.5169119328328768,0.8653217305850531
0.16737445663818173,-0.0032915777900724683,2263736.0,2.9175924151101142,2.079560648957331,1.4029850086714053,0.8667919487684508
0.19229017673328164,-0.004632651095066932,2262204.0,2.792276367733094,2.165627093214228,1.2893615786773298,0.867632476545213
0.21449246221595608,-0.0024839785243717695,2233994.0,2.6805295865783245,2.139518207152304,1.2528659852566089,0.8542790436594443
0.236571550289371,-0.0029831585930644995,2198803.0,2.6190783343832797,2.2247606236739665,1.1772405114120266,0.8583346125361676
0.2574173073363737,-0.010782971797309013,2206500.0,2.688181016741647,2.2624832425014256,1.1881551059664712,0.8562804444645304
0.2761662682830155,-0.010755961897787934,2228770.0,2.6234853079980525,2.5134785960604824,1.043766719203414,0.845356376679861
0.3014528634878586,-0.008310106971255633,2240583.0,2.7183574233882126,2.414356672007306,1.125913770283228,0.8676993265574751
0.3241492915377953,-0.010010591839750643,2264953.0,2.4168179074181575,2.3561698368674504,1.0257401099028325,0.8669263164620759
0.346599171491488,-0.012967106647332569,2258898.0,2.7558765618838907,2.16654807584075,1.2720126511914334,0.8605773253581837
0.3676923338072429,-0.010096321540443536,2243937.0,2.7474635492317327,2.301540848273989,1.193749635724327,0.8542592211555513
0.38952574821714986,-0.01588553981780529,2195392.0,2.6871575107520997,2.043897724908843,1.3147221008193772,0.8752628524989505
0.41456651036262276,-0.010409550954571108,2169468.0,2.8201116747428068,2.0642983011820886,1.3661357339333726,0.8590345655945206
0.4336864328362772,-0.016426498355333243,2179310.0,3.0532742403862145,1.9780307934475603,1.5435928755510349,0.8725641276461688
0.45601370889984205,-0.017720321255753235,2209853.0,2.9823457609279473,1.9271437116965608,1.547547151168316,0.8788699775864401
0.4782177809034521,-0.017181124146466793,2235758.0,2.9601232854460444,1.855099865975199,1.5956678881489492,0.8802142333934402
0.5027657918383354,-0.016830072663853946,2257387.0,3.0885364074465924,1.8503169792109901,1.669193139417443,0.88056073548882
0.526080403830711,-0.021286930246844558,2254486.0,3.2396085606188327,1.8197539016591422,1.7802454264091163,0.8780547269554595
0.5486550273496913,-0.018373363482460825,2229639.0,3.267767300728855,1.7960762703450273,1.8193922800957194,0.8786021965857261
0.5701195673986987,-0.023645699604436982,2185160.0,3.2787228060779117,1.6973178430538405,1.9317082062713622,0.8807777851163616
0.5912141674626422,-0.022787188070879507,2167131.0,3.4559253354884354,1.6661176765650456,2.0742384431172654,0.8846176994990127
0.6144060468525334,-0.021913768463140953,2188170.0,3.4503645369883857,1.6295152340577599,2.117417784672324,0.8824643942086631
0.6377214536905423,-0.023336495655162916,2199822.0,3.398129468171339,1.6118405999441068,2.1082292307869492,0.8878098257864478
0.6588164878935512,-0.02223941143209149,2283334.0,3.585503586676656,1.6194250087305597,2.2140596615136086,0.8897034114720194
0.679788294665704,-0.022908770558477735,2267671.0,3.60493239062572,1.6037608924679712,2.2477991623041866,0.8873741939333241
0.6996499515475902,-0.021210677258977104,2253946.0,3.5936087496786504,1.5487418827714816,2.320340651760427,0.8784728547985978
0.7234594267039486,-0.01888732334830037,2231642.0,3.618049679408902,1.5726663278499589,2.3005831658869753,0.8837691006026558
0.7439381800230843,-0.023478688414201258,2193356.0,3.7983987532897263,1.5541657664179283,2.4440113373777046,0.8773531193938515
0.7656507345273643,-0.02556255307639806,2186460.0,4.1176197536481896,1.649890754146472,2.4956923622366336,0.8802760896684696
0.7851428084620041,-0.022137884481766082,2182532.0,3.8794671084400663,1.6436092608361796,2.3603341748429933,0.8755430694755248
0.807472479617919,-0.028214639566673128,2204059.0,4.008866604267849,1.633683389995548,2.453882208032227,0.8588825769953078
0.8341202415323241,-0.02729932201653128,2283725.0,3.9804610548448522,1.6269018087161284,2.4466510723139696,0.8789471661735251
0.8548464284269404,-0.029159909117690303,2333223.0,4.295842274527707,1.569848765065336,2.7364688689288594,0.8947136310727273
0.8771765733725395,-0.03049685131655925,2300839.0,4.218317194871165,1.6461662342663532,2.5625098529317984,0.8780633451715366
0.8997536171204558,-0.02496817888859461,2272375.0,4.014715130562012,1.5882646773144184,2.527736836249771,0.8707647981844158
0.9199867248559072,-0.026521880904788967,2212371.0,4.45705973904554,1.631580788261634,2.7317432094761975,0.8621362867202006
0.944291296506086,-0.026462398084211518,2197317.0,4.231559242314453,1.6170661749400597,2.6168126622717254,0.8557207128812756
0.9689661738101585,-0.025252511169618682,2205102.0,4.355120513999048,1.5882763222372556,2.7420420823653653,0.8496224007502606
